transaction_id,customer_id,amount,payment_method,failure_reason,previous_failures,previous_successes,retry_count,customer_status
TXN0050,CUST0185,3499,upi,bank_error,2,11,0,active
TXN0051,CUST0020,1299,upi,bank_error,4,9,0,active
TXN0052,CUST0211,1299,card,bank_error,3,9,1,active
TXN0053,CUST0045,8999,upi,timeout,3,12,0,active
TXN0054,CUST0039,4999,card,timeout,0,10,2,inactive
TXN0055,CUST0059,24999,card,timeout,1,12,2,active
TXN0056,CUST0122,8999,netbanking,insufficient_funds,4,2,1,active
TXN0057,CUST0179,8999,card,insufficient_funds,0,11,3,active
TXN0058,CUST0250,3499,upi,timeout,1,1,3,active
TXN0059,CUST0085,4999,netbanking,bank_error,4,5,1,inactive
TXN0060,CUST0213,2499,card,insufficient_funds,1,5,2,active
TXN0061,CUST0006,799,card,expired_card,3,1,0,active
TXN0062,CUST0209,1299,netbanking,bank_error,1,4,2,active
TXN0063,CUST0178,24999,netbanking,insufficient_funds,2,8,0,active
TXN0064,CUST0115,2499,netbanking,insufficient_funds,3,1,0,active
TXN0065,CUST0086,24999,netbanking,insufficient_funds,4,3,2,active
TXN0066,CUST0012,4999,netbanking,bank_error,4,2,1,active
TXN0067,CUST0043,799,card,insufficient_funds,2,2,1,active
TXN0068,CUST0196,1299,netbanking,timeout,4,6,0,active
TXN0069,CUST0031,3499,upi,timeout,4,10,0,active
TXN0070,CUST0136,3499,card,insufficient_funds,4,6,0,active
TXN0071,CUST0096,499,upi,bank_error,3,3,2,active
TXN0072,CUST0157,3499,card,expired_card,0,0,2,active
TXN0073,CUST0181,5999,card,bank_error,4,9,1,active
TXN0074,CUST0159,3499,upi,bank_error,3,5,3,active
TXN0075,CUST0178,2499,card,insufficient_funds,1,2,0,active
TXN0076,CUST0082,2499,netbanking,timeout,4,2,2,active
TXN0077,CUST0144,8999,netbanking,insufficient_funds,3,9,0,active
TXN0078,CUST0064,8999,netbanking,insufficient_funds,1,6,2,active
TXN0079,CUST0262,499,upi,timeout,0,7,0,inactive
TXN0080,CUST0271,3499,upi,insufficient_funds,2,3,3,active
TXN0081,CUST0160,2499,card,insufficient_funds,2,12,1,active
TXN0082,CUST0215,24999,netbanking,insufficient_funds,1,10,2,active
TXN0083,CUST0066,1299,card,timeout,2,8,3,active
TXN0084,CUST0243,3499,netbanking,timeout,3,6,3,active
TXN0085,CUST0108,799,card,bank_error,0,11,2,active
TXN0086,CUST0139,3499,netbanking,insufficient_funds,3,9,2,active
TXN0087,CUST0005,499,netbanking,bank_error,0,3,2,active
TXN0088,CUST0195,24999,netbanking,insufficient_funds,2,0,1,active
TXN0089,CUST0175,1299,card,timeout,0,7,0,active
TXN0090,CUST0039,12999,upi,bank_error,1,8,1,active
TXN0091,CUST0262,12999,upi,timeout,3,1,0,active
TXN0092,CUST0271,24999,card,expired_card,4,4,2,active
TXN0093,CUST0219,1299,upi,bank_error,0,9,2,active
TXN0094,CUST0163,1299,netbanking,insufficient_funds,3,4,0,inactive
TXN0095,CUST0017,1299,card,timeout,3,11,0,active
TXN0096,CUST0207,12999,card,timeout,4,0,2,active
TXN0097,CUST0091,24999,card,bank_error,0,0,2,active
TXN0098,CUST0059,12999,upi,bank_error,1,12,0,active
TXN0099,CUST0156,1299,upi,timeout,1,3,1,active
TXN0100,CUST0058,12999,upi,timeout,1,5,1,inactive
TXN0101,CUST0045,5999,netbanking,timeout,2,4,0,active
TXN0102,CUST0093,12999,card,expired_card,1,12,1,active
TXN0103,CUST0015,799,netbanking,bank_error,3,12,2,active
TXN0104,CUST0182,799,card,timeout,3,9,0,active
TXN0105,CUST0023,2499,netbanking,timeout,3,2,1,active
TXN0106,CUST0029,24999,netbanking,insufficient_funds,1,0,1,active
TXN0107,CUST0061,799,upi,bank_error,3,6,2,active
TXN0108,CUST0196,4999,upi,bank_error,0,2,2,active
TXN0109,CUST0063,8999,netbanking,bank_error,1,8,2,active
TXN0110,CUST0141,2499,upi,insufficient_funds,1,2,2,active
TXN0111,CUST0224,499,netbanking,insufficient_funds,1,6,0,active
TXN0112,CUST0073,2499,card,bank_error,0,10,2,active
TXN0113,CUST0071,799,card,timeout,0,6,2,active
TXN0114,CUST0203,24999,netbanking,insufficient_funds,2,10,2,active
TXN0115,CUST0051,12999,card,timeout,0,5,3,active
TXN0116,CUST0013,799,netbanking,insufficient_funds,4,6,0,active
TXN0117,CUST0264,4999,netbanking,insufficient_funds,2,10,3,active
TXN0118,CUST0108,24999,card,bank_error,4,9,2,active
TXN0119,CUST0163,24999,netbanking,timeout,3,12,0,active
TXN0120,CUST0212,799,card,timeout,1,10,2,active
TXN0121,CUST0076,1299,upi,insufficient_funds,2,9,1,inactive
TXN0122,CUST0241,799,upi,bank_error,0,12,1,active
TXN0123,CUST0259,2499,netbanking,timeout,2,0,2,active
TXN0124,CUST0121,2499,card,expired_card,4,5,2,inactive
TXN0125,CUST0222,4999,upi,insufficient_funds,2,2,3,active
TXN0126,CUST0080,799,upi,bank_error,4,7,1,active
TXN0127,CUST0114,3499,netbanking,insufficient_funds,3,12,2,active
TXN0128,CUST0043,24999,upi,timeout,1,5,2,active
TXN0129,CUST0215,3499,netbanking,insufficient_funds,2,11,0,active
TXN0130,CUST0135,24999,netbanking,bank_error,4,1,2,active
TXN0131,CUST0116,24999,card,bank_error,1,11,0,active
TXN0132,CUST0148,4999,upi,insufficient_funds,0,11,0,active
TXN0133,CUST0215,799,upi,timeout,3,11,1,active
TXN0134,CUST0075,5999,netbanking,insufficient_funds,3,7,1,active
TXN0135,CUST0194,2499,card,insufficient_funds,2,1,1,active
TXN0136,CUST0125,3499,card,expired_card,1,0,1,active
TXN0137,CUST0138,499,card,insufficient_funds,2,4,2,active
TXN0138,CUST0097,3499,netbanking,bank_error,1,3,0,active
TXN0139,CUST0180,1299,netbanking,insufficient_funds,3,8,3,active
TXN0140,CUST0065,1299,card,bank_error,3,9,2,active
TXN0141,CUST0155,5999,upi,timeout,1,10,1,inactive
TXN0142,CUST0225,1299,card,bank_error,2,9,3,active
TXN0143,CUST0171,12999,netbanking,bank_error,1,5,3,active
TXN0144,CUST0294,799,upi,timeout,2,0,0,active
TXN0145,CUST0036,24999,netbanking,bank_error,4,7,1,active
TXN0146,CUST0158,5999,netbanking,timeout,2,11,3,active
TXN0147,CUST0223,3499,card,insufficient_funds,2,4,1,active
TXN0148,CUST0232,799,upi,insufficient_funds,2,0,0,active
TXN0149,CUST0192,1299,upi,insufficient_funds,1,10,0,active
TXN0150,CUST0047,499,netbanking,insufficient_funds,2,3,2,active
TXN0151,CUST0063,499,netbanking,insufficient_funds,2,4,3,active
TXN0152,CUST0120,799,card,expired_card,2,5,1,inactive
TXN0153,CUST0238,12999,upi,bank_error,0,12,1,active
TXN0154,CUST0145,24999,card,expired_card,0,4,3,active
TXN0155,CUST0164,8999,upi,timeout,3,7,2,active
TXN0156,CUST0083,1299,card,insufficient_funds,3,9,2,active
TXN0157,CUST0237,24999,upi,bank_error,4,7,0,active
TXN0158,CUST0273,8999,netbanking,timeout,2,10,2,active
TXN0159,CUST0189,12999,card,bank_error,1,6,1,active
TXN0160,CUST0102,24999,card,bank_error,1,9,0,active
TXN0161,CUST0096,12999,card,insufficient_funds,1,12,3,active
TXN0162,CUST0045,5999,upi,bank_error,2,4,1,active
TXN0163,CUST0008,3499,card,timeout,0,2,0,inactive
TXN0164,CUST0142,499,card,timeout,1,3,1,active
TXN0165,CUST0030,1299,card,expired_card,4,8,1,active
TXN0166,CUST0210,24999,card,expired_card,1,3,1,active
TXN0167,CUST0047,3499,netbanking,bank_error,1,11,1,active
TXN0168,CUST0281,799,card,expired_card,0,4,1,active
TXN0169,CUST0225,2499,netbanking,bank_error,3,4,3,active
TXN0170,CUST0175,3499,card,timeout,2,10,0,active
TXN0171,CUST0043,2499,upi,insufficient_funds,4,2,0,active
TXN0172,CUST0172,24999,card,timeout,0,1,2,active
TXN0173,CUST0156,24999,upi,bank_error,0,0,1,inactive
TXN0174,CUST0034,24999,card,timeout,0,4,3,active
TXN0175,CUST0276,5999,netbanking,bank_error,1,10,2,active
TXN0176,CUST0135,5999,netbanking,insufficient_funds,2,5,1,active
TXN0177,CUST0045,5999,netbanking,insufficient_funds,2,1,2,active
TXN0178,CUST0145,799,card,expired_card,2,0,0,active
TXN0179,CUST0216,12999,upi,bank_error,1,12,2,active
TXN0180,CUST0134,8999,card,bank_error,1,6,3,active
TXN0181,CUST0004,1299,netbanking,insufficient_funds,4,12,2,active
TXN0182,CUST0075,799,netbanking,bank_error,3,4,0,active
TXN0183,CUST0151,499,upi,timeout,4,9,2,active
TXN0184,CUST0092,799,card,insufficient_funds,3,5,1,active
TXN0185,CUST0276,799,upi,bank_error,4,1,1,active
TXN0186,CUST0209,24999,card,timeout,0,2,0,active
TXN0187,CUST0208,799,card,expired_card,4,10,1,active
TXN0188,CUST0057,12999,card,bank_error,4,11,3,active
TXN0189,CUST0257,5999,upi,bank_error,3,2,1,active
TXN0190,CUST0201,3499,netbanking,timeout,3,4,1,active
TXN0191,CUST0068,2499,card,expired_card,2,10,1,inactive
TXN0192,CUST0116,5999,netbanking,timeout,2,5,1,active
TXN0193,CUST0299,3499,upi,timeout,0,12,1,active
TXN0194,CUST0214,24999,netbanking,bank_error,0,12,1,active
TXN0195,CUST0093,24999,card,insufficient_funds,0,0,2,active
TXN0196,CUST0030,5999,card,expired_card,3,0,3,inactive
TXN0197,CUST0243,8999,upi,insufficient_funds,1,8,3,active
TXN0198,CUST0200,499,netbanking,bank_error,1,1,3,active
TXN0199,CUST0080,3499,card,insufficient_funds,1,1,0,active
TXN0200,CUST0101,8999,upi,insufficient_funds,4,3,2,active
TXN0201,CUST0025,12999,upi,timeout,0,9,1,inactive
TXN0202,CUST0087,799,netbanking,bank_error,3,11,0,active
TXN0203,CUST0249,799,card,bank_error,1,3,0,active
TXN0204,CUST0052,8999,netbanking,insufficient_funds,1,10,0,active
TXN0205,CUST0119,24999,upi,timeout,0,8,2,active
TXN0206,CUST0033,499,netbanking,insufficient_funds,1,0,2,inactive
TXN0207,CUST0148,12999,netbanking,timeout,2,11,1,inactive
TXN0208,CUST0053,1299,netbanking,bank_error,4,0,2,active
TXN0209,CUST0091,499,card,bank_error,2,0,2,active
TXN0210,CUST0041,4999,netbanking,bank_error,2,4,3,active
TXN0211,CUST0133,12999,card,expired_card,4,7,1,active
TXN0212,CUST0085,8999,netbanking,insufficient_funds,0,5,3,active
TXN0213,CUST0138,1299,netbanking,insufficient_funds,4,1,2,active
TXN0214,CUST0149,2499,upi,bank_error,4,1,3,active
TXN0215,CUST0116,499,upi,timeout,1,6,3,active
TXN0216,CUST0171,8999,upi,insufficient_funds,2,3,1,active
TXN0217,CUST0264,24999,upi,bank_error,3,1,0,inactive
TXN0218,CUST0261,1299,netbanking,insufficient_funds,0,0,2,inactive
TXN0219,CUST0237,2499,upi,bank_error,4,7,1,active
TXN0220,CUST0265,4999,card,insufficient_funds,2,10,3,active
TXN0221,CUST0269,12999,netbanking,insufficient_funds,1,1,1,active
TXN0222,CUST0275,1299,netbanking,bank_error,0,5,3,active
TXN0223,CUST0201,8999,netbanking,insufficient_funds,1,12,0,active
TXN0224,CUST0151,3499,netbanking,insufficient_funds,0,1,0,active
TXN0225,CUST0039,8999,card,timeout,0,8,0,active
TXN0226,CUST0161,2499,upi,insufficient_funds,4,12,1,active
TXN0227,CUST0052,799,netbanking,timeout,2,0,2,active
TXN0228,CUST0201,3499,netbanking,timeout,0,4,0,active
TXN0229,CUST0118,799,netbanking,insufficient_funds,0,8,2,active
TXN0230,CUST0052,12999,card,timeout,3,4,1,active
TXN0231,CUST0036,2499,netbanking,timeout,4,8,3,active
TXN0232,CUST0291,4999,card,expired_card,0,11,2,active
TXN0233,CUST0102,1299,netbanking,timeout,4,6,2,active
TXN0234,CUST0274,3499,card,expired_card,2,6,3,active
TXN0235,CUST0161,2499,card,expired_card,3,5,2,active
TXN0236,CUST0237,8999,netbanking,timeout,0,10,2,active
TXN0237,CUST0073,3499,card,expired_card,2,12,1,active
TXN0238,CUST0015,8999,netbanking,insufficient_funds,2,7,0,active
TXN0239,CUST0047,499,card,insufficient_funds,0,10,2,active
TXN0240,CUST0096,24999,upi,bank_error,0,3,1,active
TXN0241,CUST0270,499,upi,insufficient_funds,3,3,3,inactive
TXN0242,CUST0284,2499,card,expired_card,2,8,2,active
TXN0243,CUST0120,5999,card,timeout,1,4,0,active
TXN0244,CUST0129,499,upi,insufficient_funds,2,8,1,active
TXN0245,CUST0261,3499,upi,bank_error,1,10,2,inactive
TXN0246,CUST0191,499,upi,timeout,1,9,1,inactive
TXN0247,CUST0297,12999,upi,insufficient_funds,3,12,1,active
TXN0248,CUST0198,12999,upi,timeout,4,6,2,active
TXN0249,CUST0078,1299,netbanking,insufficient_funds,4,9,1,active
TXN0250,CUST0124,3499,card,bank_error,4,7,2,active
TXN0251,CUST0133,4999,card,timeout,2,6,2,active
TXN0252,CUST0220,3499,netbanking,insufficient_funds,4,7,2,active
TXN0253,CUST0225,499,upi,timeout,0,1,3,active
TXN0254,CUST0064,12999,upi,insufficient_funds,1,2,0,active
TXN0255,CUST0277,2499,netbanking,insufficient_funds,2,0,0,active
TXN0256,CUST0163,3499,netbanking,timeout,2,3,2,active
TXN0257,CUST0138,8999,upi,timeout,4,10,0,active
TXN0258,CUST0242,499,upi,bank_error,2,5,3,active
TXN0259,CUST0293,799,upi,timeout,3,6,1,active
TXN0260,CUST0142,12999,card,timeout,0,8,0,inactive
TXN0261,CUST0235,4999,card,bank_error,0,7,2,active
TXN0262,CUST0074,2499,upi,timeout,0,3,1,active
TXN0263,CUST0069,499,card,expired_card,2,9,1,active
TXN0264,CUST0244,8999,netbanking,insufficient_funds,1,7,0,inactive
TXN0265,CUST0204,3499,netbanking,bank_error,4,9,3,active
TXN0266,CUST0237,499,card,insufficient_funds,1,2,1,active
TXN0267,CUST0167,12999,card,expired_card,3,7,0,active
TXN0268,CUST0048,2499,netbanking,bank_error,0,11,2,active
TXN0269,CUST0215,3499,netbanking,bank_error,1,11,3,active
TXN0270,CUST0267,499,netbanking,bank_error,2,7,0,inactive
TXN0271,CUST0160,12999,netbanking,insufficient_funds,3,6,1,active
TXN0272,CUST0211,2499,upi,bank_error,2,2,0,active
TXN0273,CUST0039,4999,netbanking,timeout,2,1,1,active
TXN0274,CUST0168,5999,card,bank_error,3,10,3,active
TXN0275,CUST0169,2499,card,insufficient_funds,0,2,3,active
TXN0276,CUST0103,8999,upi,bank_error,4,9,0,active
TXN0277,CUST0225,1299,card,timeout,1,1,2,active
TXN0278,CUST0210,3499,card,bank_error,2,2,3,active
TXN0279,CUST0103,1299,upi,bank_error,2,8,0,active
TXN0280,CUST0151,5999,card,timeout,4,3,2,active
TXN0281,CUST0122,1299,upi,timeout,1,11,3,active
TXN0282,CUST0113,3499,card,timeout,4,5,0,active
TXN0283,CUST0049,3499,upi,insufficient_funds,0,3,0,active
TXN0284,CUST0227,3499,netbanking,timeout,0,7,1,active
TXN0285,CUST0262,4999,card,bank_error,3,4,3,active
TXN0286,CUST0020,1299,card,expired_card,2,11,0,active
TXN0287,CUST0188,499,card,insufficient_funds,4,0,2,active
TXN0288,CUST0122,2499,upi,timeout,0,9,2,active
TXN0289,CUST0277,799,netbanking,bank_error,1,10,0,inactive
TXN0290,CUST0261,3499,card,expired_card,2,5,2,active
TXN0291,CUST0116,5999,upi,bank_error,3,3,1,active
TXN0292,CUST0179,3499,netbanking,insufficient_funds,3,12,2,inactive
TXN0293,CUST0252,5999,upi,timeout,1,3,0,active
TXN0294,CUST0170,12999,netbanking,bank_error,2,7,3,active
TXN0295,CUST0095,499,upi,timeout,3,9,1,active
TXN0296,CUST0263,5999,card,insufficient_funds,4,9,3,active
TXN0297,CUST0057,24999,upi,insufficient_funds,3,12,3,active
TXN0298,CUST0188,5999,upi,insufficient_funds,3,2,0,inactive
TXN0299,CUST0130,5999,netbanking,bank_error,2,3,1,active
TXN0300,CUST0063,799,netbanking,timeout,0,11,2,active
TXN0301,CUST0216,799,netbanking,timeout,0,7,1,active
TXN0302,CUST0170,2499,upi,insufficient_funds,3,8,3,active
TXN0303,CUST0073,499,upi,timeout,1,11,3,active
TXN0304,CUST0229,12999,card,insufficient_funds,4,12,0,inactive
TXN0305,CUST0203,799,netbanking,insufficient_funds,0,8,3,active
TXN0306,CUST0220,2499,netbanking,timeout,2,6,2,active
TXN0307,CUST0152,3499,card,insufficient_funds,3,11,2,active
TXN0308,CUST0186,799,upi,insufficient_funds,2,7,0,active
TXN0309,CUST0184,799,upi,insufficient_funds,0,6,1,active
TXN0310,CUST0255,2499,card,timeout,2,12,2,active
TXN0311,CUST0227,499,netbanking,insufficient_funds,2,2,0,active
TXN0312,CUST0014,3499,card,bank_error,4,8,1,active
TXN0313,CUST0288,4999,card,timeout,0,7,0,active
TXN0314,CUST0209,12999,card,timeout,0,8,0,active
TXN0315,CUST0004,2499,upi,insufficient_funds,0,10,2,active
TXN0316,CUST0016,12999,upi,timeout,4,5,2,active
TXN0317,CUST0238,799,netbanking,bank_error,4,2,1,inactive
TXN0318,CUST0178,3499,upi,bank_error,0,6,2,active
TXN0319,CUST0099,12999,netbanking,insufficient_funds,0,11,2,inactive
TXN0320,CUST0275,24999,netbanking,timeout,3,2,2,active
TXN0321,CUST0226,5999,netbanking,bank_error,4,7,1,active
TXN0322,CUST0026,4999,upi,timeout,3,6,3,active
TXN0323,CUST0095,4999,upi,insufficient_funds,4,3,1,active
TXN0324,CUST0227,499,upi,bank_error,4,11,1,active
TXN0325,CUST0213,8999,card,timeout,3,12,3,active
TXN0326,CUST0072,24999,card,timeout,3,10,2,active
TXN0327,CUST0227,3499,upi,timeout,0,9,2,inactive
TXN0328,CUST0032,4999,card,bank_error,3,0,3,active
TXN0329,CUST0188,24999,card,timeout,4,12,1,active
TXN0330,CUST0046,499,upi,bank_error,1,9,2,active
TXN0331,CUST0001,499,upi,bank_error,2,6,1,active
TXN0332,CUST0195,4999,netbanking,insufficient_funds,0,9,0,active
TXN0333,CUST0246,8999,upi,insufficient_funds,1,0,3,active
TXN0334,CUST0012,5999,upi,insufficient_funds,4,4,0,active
TXN0335,CUST0128,499,upi,timeout,1,6,1,active
TXN0336,CUST0137,2499,card,timeout,4,5,2,active
TXN0337,CUST0019,12999,netbanking,timeout,1,9,0,active
TXN0338,CUST0011,5999,card,bank_error,3,9,2,active
TXN0339,CUST0179,799,upi,timeout,3,8,3,active
TXN0340,CUST0275,24999,card,expired_card,3,11,2,active
TXN0341,CUST0108,8999,netbanking,bank_error,0,11,0,active
TXN0342,CUST0094,5999,netbanking,insufficient_funds,2,4,0,active
TXN0343,CUST0125,499,card,timeout,0,10,3,active
TXN0344,CUST0175,24999,card,timeout,1,10,0,active
TXN0345,CUST0288,1299,card,insufficient_funds,4,9,3,active
TXN0346,CUST0094,12999,card,expired_card,0,0,2,inactive
TXN0347,CUST0149,4999,netbanking,timeout,4,2,2,active
TXN0348,CUST0059,499,card,insufficient_funds,2,8,2,active
TXN0349,CUST0220,3499,upi,bank_error,2,12,2,active
TXN0350,CUST0126,3499,netbanking,bank_error,2,2,2,active
TXN0351,CUST0281,24999,card,bank_error,1,8,2,active
TXN0352,CUST0056,5999,card,timeout,0,9,0,active
TXN0353,CUST0191,499,netbanking,insufficient_funds,2,10,3,inactive
TXN0354,CUST0093,8999,netbanking,bank_error,4,9,2,active
TXN0355,CUST0251,4999,netbanking,insufficient_funds,1,2,3,active
TXN0356,CUST0018,8999,card,timeout,4,9,3,active
TXN0357,CUST0004,8999,netbanking,timeout,4,4,3,active
TXN0358,CUST0243,799,netbanking,insufficient_funds,1,2,1,active
TXN0359,CUST0146,1299,netbanking,bank_error,3,0,3,inactive
TXN0360,CUST0045,12999,netbanking,timeout,4,2,1,active
TXN0361,CUST0155,8999,upi,bank_error,2,6,2,active
TXN0362,CUST0216,24999,card,timeout,3,10,2,active
TXN0363,CUST0008,499,card,bank_error,0,8,2,active
TXN0364,CUST0284,499,card,bank_error,4,0,2,active
TXN0365,CUST0058,8999,netbanking,timeout,4,3,0,active
TXN0366,CUST0044,4999,netbanking,timeout,0,5,1,active
TXN0367,CUST0269,499,upi,insufficient_funds,3,12,3,active
TXN0368,CUST0137,799,upi,timeout,1,6,1,active
TXN0369,CUST0024,799,card,timeout,1,3,0,active
TXN0370,CUST0191,1299,upi,timeout,2,0,0,active
TXN0371,CUST0082,499,netbanking,insufficient_funds,4,2,0,active
TXN0372,CUST0121,5999,netbanking,bank_error,2,0,1,active
TXN0373,CUST0064,1299,netbanking,insufficient_funds,1,7,0,active
TXN0374,CUST0006,3499,upi,bank_error,0,0,0,active
TXN0375,CUST0225,2499,upi,bank_error,1,0,3,active
TXN0376,CUST0244,5999,netbanking,timeout,4,11,3,inactive
TXN0377,CUST0204,12999,upi,timeout,2,4,2,active
TXN0378,CUST0139,24999,upi,insufficient_funds,0,8,2,active
TXN0379,CUST0191,499,netbanking,insufficient_funds,3,1,3,inactive
TXN0380,CUST0091,4999,upi,insufficient_funds,4,12,3,inactive
TXN0381,CUST0037,12999,netbanking,timeout,4,2,1,active
TXN0382,CUST0148,499,card,insufficient_funds,4,3,0,active
TXN0383,CUST0300,799,upi,bank_error,0,2,3,inactive
TXN0384,CUST0091,4999,card,expired_card,2,6,1,active
TXN0385,CUST0268,24999,netbanking,timeout,0,7,3,inactive
TXN0386,CUST0270,3499,netbanking,bank_error,4,12,3,active
TXN0387,CUST0256,12999,upi,bank_error,3,2,0,active
TXN0388,CUST0190,5999,upi,insufficient_funds,2,2,1,active
TXN0389,CUST0286,799,upi,insufficient_funds,0,2,2,active
TXN0390,CUST0055,12999,netbanking,bank_error,2,3,2,active
TXN0391,CUST0259,3499,netbanking,bank_error,2,4,2,active
TXN0392,CUST0294,799,upi,insufficient_funds,2,11,2,active
TXN0393,CUST0182,3499,card,insufficient_funds,4,10,1,active
TXN0394,CUST0085,5999,netbanking,insufficient_funds,3,2,1,active
TXN0395,CUST0022,4999,upi,insufficient_funds,0,5,1,active
TXN0396,CUST0045,799,netbanking,timeout,1,5,0,active
TXN0397,CUST0063,8999,upi,insufficient_funds,0,9,1,active
TXN0398,CUST0296,5999,upi,bank_error,1,8,0,active
TXN0399,CUST0246,799,upi,insufficient_funds,3,2,0,active
TXN0400,CUST0127,5999,card,expired_card,2,11,3,active
TXN0401,CUST0096,1299,upi,timeout,3,2,0,active
TXN0402,CUST0235,799,upi,bank_error,3,8,0,active
TXN0403,CUST0124,1299,netbanking,insufficient_funds,4,0,0,active
TXN0404,CUST0109,4999,card,bank_error,1,3,3,active
TXN0405,CUST0172,799,netbanking,bank_error,4,10,0,active
TXN0406,CUST0112,8999,upi,timeout,1,7,0,inactive
TXN0407,CUST0006,1299,netbanking,timeout,4,5,2,inactive
TXN0408,CUST0278,3499,netbanking,timeout,0,11,0,inactive
TXN0409,CUST0197,799,netbanking,bank_error,4,12,1,active
TXN0410,CUST0225,8999,netbanking,timeout,3,1,2,active
TXN0411,CUST0134,3499,card,expired_card,3,10,2,active
TXN0412,CUST0073,3499,netbanking,insufficient_funds,1,4,1,active
TXN0413,CUST0021,2499,card,expired_card,0,5,1,active
TXN0414,CUST0059,1299,netbanking,bank_error,0,7,2,inactive
TXN0415,CUST0114,3499,card,expired_card,4,10,0,active
TXN0416,CUST0289,499,netbanking,bank_error,3,4,1,active
TXN0417,CUST0212,3499,netbanking,bank_error,2,12,1,active
TXN0418,CUST0015,2499,upi,insufficient_funds,2,5,0,inactive
TXN0419,CUST0187,5999,upi,insufficient_funds,4,11,0,active
TXN0420,CUST0124,2499,netbanking,bank_error,4,9,1,active
TXN0421,CUST0189,3499,upi,timeout,4,2,3,active
TXN0422,CUST0268,5999,netbanking,bank_error,1,3,2,active
TXN0423,CUST0055,3499,netbanking,timeout,0,7,1,active
TXN0424,CUST0057,12999,card,insufficient_funds,1,0,0,active
TXN0425,CUST0049,24999,upi,bank_error,0,6,1,active
TXN0426,CUST0202,799,card,bank_error,1,8,0,active
TXN0427,CUST0113,8999,netbanking,timeout,3,6,3,active
TXN0428,CUST0238,1299,upi,timeout,3,10,0,active
TXN0429,CUST0247,499,upi,bank_error,3,6,0,active
TXN0430,CUST0093,1299,card,bank_error,1,2,3,active
TXN0431,CUST0240,5999,card,bank_error,3,12,2,active
TXN0432,CUST0089,799,card,insufficient_funds,2,12,1,active
TXN0433,CUST0075,499,card,timeout,2,10,3,active
TXN0434,CUST0136,2499,netbanking,timeout,3,9,2,active
